2026-04-16 15:36:59 [main] INFO  o.a.r.s.s.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='unique-biz-consumer-group', namespace='', namespaceV2='', nameServer='127.0.0.1:9876', topic='unique-biz-consumer-group', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='${mhd.mq.tagId.value}', messageModel=CLUSTERING', tlsEnable=false, instanceName=DEFAULT}
2026-04-16 15:37:00 [main] INFO  o.a.r.s.s.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='unique-recall-consumer-group', namespace='', namespaceV2='', nameServer='127.0.0.1:9876', topic='unique-recall-consumer-group', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='${mhd.mq.tagId.value}', messageModel=CLUSTERING', tlsEnable=false, instanceName=DEFAULT}
2026-04-16 15:37:00 [main] INFO  c.m.p.w.c.WebControllerIntegrationTest - Started WebControllerIntegrationTest in 12.546 seconds (process running for 13.812)
2026-04-16 15:37:00 [main] INFO  com.mhd.push.ServerApplication - push start succeeded, Index >> http://127.0.0.1:8080/
2026-04-16 15:37:00 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:37:00 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:37:01 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:37:01 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:37:01 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
2026-04-16 15:37:01 [main] INFO  c.m.p.w.i.PlusWebInvokeTimeInterceptor - 域名信息：localhost
